Recorded_taxa	Status	MinT	MaxT
Coeloceras_pettos_sensu_G	extinct	190.2	191.84
Miltoceras_sellae	extinct	190.54	191.84
Miltoceras_seguenzae	extinct	190.54	191.84
Miltoceras_sellae	extinct	190.54	191.84
Miltoceras_seguenzae	extinct	190.54	192.9
Apoderoceras_aculeatum	extinct	191.84	192.9
Coeloceras_pettos	extinct	190.2	190.54
Hyperderoceras_retusum	extinct	191.84	192.9
Hyperderoceras_retusum	extinct	190.78	191.84
Apoderoceras_aculeatum	extinct	191.84	192.9
Apoderoceras_aculeatum	extinct	191.84	192.9
Coeloceras_pettos_sensu_G	extinct	190.2	191.84
Miltoceras_sellae	extinct	190.54	191.84
Miltoceras_seguenzae	extinct	190.54	191.84
Apoderoceras_aculeatum	extinct	191.84	192.9
Pseudoskirroceras_mastodon	extinct	190.2	190.78
Apoderoceras_aculeatum	extinct	191.84	192.9
Coeloceras_pettos	extinct	190.2	190.54
Coeloceras_pettos_sensu_G	extinct	190.2	191.84
Hyperderoceras_retusum	extinct	191.84	192.9
Coeloceras_pettos	extinct	190.2	190.54
Apoderoceras_aculeatum	extinct	191.84	192.9
Apoderoceras_aculeatum	extinct	191.84	192.9
Apoderoceras_aculeatum	extinct	191.84	192.9
Coeloceras_pettos	extinct	190.2	190.54
Apoderoceras_aculeatum	extinct	191.84	192.9
Miltoceras_sellae	extinct	190.54	191.84
Miltoceras_seguenzae	extinct	190.54	191.84
Apoderoceras_aculeatum	extinct	191.84	192.9
Hyperderoceras_retusum	extinct	191.84	192.9
Miltoceras_sellae	extinct	190.54	191.84
Miltoceras_seguenzae	extinct	190.54	191.84
Miltoceras_furlense	extinct	190.78	192.9
Miltoceras?_sp.	extinct	190.54	191.84
Miltoceras_sellae	extinct	190.54	191.84
Coeloceras_pettos_sensu_G	extinct	190.2	191.84
Miltoceras_sellae	extinct	190.54	191.84
Miltoceras_seguenzae	extinct	190.54	191.84
Pseudoskirroceras_mastodon	extinct	190.2	190.78
Apoderoceras_aculeatum	extinct	191.84	192.9
Miltoceras_sellae	extinct	190.54	191.84
Miltoceras_taguendoufi	extinct	190.54	192.9
Miltoceras_sellae	extinct	190.54	191.84
Miltoceras_seguenzae	extinct	190.54	191.84
Miltoceras_seguenzae	extinct	190.54	191.84
Miltoceras_taguendoufi	extinct	190.54	192.9
Pseudoskirroceras_mastodon	extinct	190.54	192.9
Miltoceras_sellae	extinct	190.54	191.84
Apoderoceras_aculeatum	extinct	191.84	192.9
Miltoceras_sellae	extinct	190.54	191.84
Miltoceras_seguenzae	extinct	190.54	191.84
Miltoceras_taguendoufi	extinct	190.54	192.9
Zamaiceras_carinatum	extinct	188.8	190.54
Zamaiceras_mangoldi	extinct	188.8	190.54
Coeloceras_pettos_sensu_G	extinct	190.2	191.84
Coeloceras_pettos_sensu_G	extinct	190.2	191.84
Apoderoceras_aculeatum	extinct	191.84	192.9
Apoderoceras_aculeatum	extinct	191.84	192.9
Apoderoceras_aculeatum	extinct	191.84	192.9
Apoderoceras_aculeatum	extinct	191.84	192.9
Hyperderoceras_retusum	extinct	191.84	192.9
Dubariceras_dubari	extinct	188.4	189.5
Metaderoceras_gemmellaroi	extinct	188.8	189.5
Metaderoceras_clavatus	extinct	190.54	191.84
Dubariceras_dubari	extinct	188.4	189.5
Metaderoceras_gemmellaroi	extinct	188.8	189.5
Prodactylioceras_davoei	extinct	188.21	188.24
Prodactylioceras_davoei	extinct	188	188.21
Prodactylioceras_davoei	extinct	188.21	188.24
Prodactylioceras_davoei	extinct	188	188.21
Metaderoceras_muticum	extinct	190.54	190.78
Metaderoceras_muticum	extinct	190.54	190.78
Prodactylioceras_davoei	extinct	188.21	188.24
Prodactylioceras_davoei	extinct	188	188.21
Metaderoceras_muticum	extinct	190.54	190.78
Prodactylioceras_davoei	extinct	188.21	188.24
Prodactylioceras_davoei	extinct	188	188.21
Metaderoceras_gemmellaroi	extinct	188.8	189.5
Metaderoceras_muticum_sensu_MB	extinct	190.54	190.78
Reynesocoeloceras_incertum	extinct	188.4	189.5
Prodactylioceras_davoei	extinct	188.21	188.24
Prodactylioceras_davoei	extinct	188	188.21
Metaderoceras_gemmellaroi	extinct	188.8	189.5
Prodactylioceras_davoei	extinct	188.21	188.24
Prodactylioceras_davoei	extinct	188	188.21
Prodactylioceras_davoei	extinct	188.21	188.24
Prodactylioceras_davoei	extinct	188	188.21
Prodactylioceras_davoei	extinct	188.21	188.24
Prodactylioceras_davoei	extinct	188	188.21
Dubariceras_inaequicosta	extinct	188.8	190.54
Metaderoceras_gemmellaroi	extinct	188.8	189.5
Reynesocoeloceras_obesum	extinct	188.24	189.5
Reynesocoeloceras_indunense	extinct	188.24	188.8
Reynesocoeloceras_incertum	extinct	188.4	189.5
Bettoniceras_italicum	extinct	188	188.4
Dubariceras_dubari	extinct	188.4	189.5
Metaderoceras_gemmellaroi	extinct	188.8	189.5
Dubariceras_inaequicosta	extinct	188.8	190.54
Dubariceras_dubari	extinct	188.4	189.5
Metaderoceras_gemmellaroi	extinct	188.8	189.5
Metaderoceras_venarense	extinct	188.8	189.5
Reynesocoeloceras_incertum	extinct	188.4	189.5
Metaderoceras_venarense	extinct	188.8	189.5
Prodactylioceras_davoei	extinct	188.21	188.24
Prodactylioceras_davoei	extinct	188	188.21
Prodactylioceras_aurigeriense	extinct	188.21	188.24
Metaderoceras_venarense	extinct	188.8	189.5
Prodactylioceras_aurigeriense	extinct	188.21	188.24
Prodactylioceras_davoei	extinct	188.21	188.24
Prodactylioceras_davoei	extinct	188	188.21
Metaderoceras_venarense	extinct	188.8	189.5
Prodactylioceras_aurigeriense	extinct	188.21	188.24
Metaderoceras_venarense	extinct	188.8	189.5
Metaderoceras_muticum	extinct	190.54	190.78
Prodactylioceras_davoei	extinct	188.21	188.24
Prodactylioceras_davoei	extinct	188	188.21
Prodactylioceras_davoei	extinct	188.21	188.24
Prodactylioceras_davoei	extinct	188	188.21
Prodactylioceras_aurigeriense	extinct	188.21	188.24
Metaderoceras?_pygmaeus	extinct	191.84	192.9
Prodactylioceras_davoei	extinct	188.21	188.24
Prodactylioceras_davoei	extinct	188	188.21
Metaderoceras_muticum	extinct	190.54	190.78
Prodactylioceras_davoei	extinct	188.21	188.24
Prodactylioceras_davoei	extinct	188	188.21
Metaderoceras_venarense	extinct	188.8	189.5
Reynesocoeloceras_obesum	extinct	188.24	189.5
Prodactylioceras_davoei	extinct	188.21	188.24
Prodactylioceras_davoei	extinct	188	188.21
Metaderoceras_venarense	extinct	188.8	189.5
Metaderoceras_muticum	extinct	190.54	190.78
Prodactylioceras_davoei	extinct	188.21	188.24
Prodactylioceras_davoei	extinct	188	188.21
Prodactylioceras_davoei	extinct	188.21	188.24
Prodactylioceras_davoei	extinct	188	188.21
Metaderoceras_venarense	extinct	188.8	189.5
Metaderoceras_muticum	extinct	190.54	190.78
Metaderoceras_venarense	extinct	188.8	189.5
Prodactylioceras_davoei	extinct	188.21	188.24
Prodactylioceras_davoei	extinct	188	188.21
Metaderoceras_gemmellaroi	extinct	188.8	189.5
Prodactylioceras_davoei	extinct	188.21	188.24
Prodactylioceras_davoei	extinct	188	188.21
Metaderoceras_muticum	extinct	190.54	190.78
Prodactylioceras_davoei	extinct	188.21	188.24
Prodactylioceras_davoei	extinct	188	188.21
Prodactylioceras_davoei	extinct	188.21	188.24
Prodactylioceras_davoei	extinct	188	188.21
Dubariceras_dubari	extinct	188.4	189.5
Metaderoceras_venarense	extinct	188.8	189.5
Prodactylioceras_davoei	extinct	188.21	188.24
Prodactylioceras_davoei	extinct	188	188.21
Prodactylioceras_davoei	extinct	188.21	188.24
Prodactylioceras_davoei	extinct	188	188.21
Prodactylioceras_davoei	extinct	188.21	188.24
Prodactylioceras_davoei	extinct	188	188.21
Metaderoceras_muticum	extinct	190.54	190.78
Reynesocoeloceras_incertum	extinct	188.4	189.5
Prodactylioceras_davoei	extinct	188.21	188.24
Prodactylioceras_davoei	extinct	188	188.21
Metaderoceras_muticum	extinct	190.54	190.78
Prodactylioceras_davoei	extinct	188.21	188.24
Prodactylioceras_davoei	extinct	188	188.21
Metaderoceras_muticum	extinct	190.54	190.78
Metaderoceras_muticum	extinct	191.84	192.9
Dubariceras_inaequicosta	extinct	188.8	189.5
Dubariceras_dubari	extinct	188.4	189.5
Metaderoceras_gemmellaroi	extinct	188.8	189.5
Metaderoceras_apertum	extinct	190.54	192.9
Reynesocoeloceras_subcrassum	extinct	188.24	188.8
Reynesocoeloceras_praeincertum	extinct	188.4	189.5
Reynesocoeloceras_obesum	extinct	188.4	189.5
Reynesocoeloceras_obesum	extinct	188.24	188.8
Reynesocoeloceras_indunense	extinct	188.24	188.8
Reynesocoeloceras_incertum	extinct	188.4	189.5
Prodactylioceras_davoei	extinct	188.21	188.24
Prodactylioceras_davoei	extinct	188	188.21
Bettoniceras_italicum	extinct	188	188.4
Bettoniceras_italicum	extinct	188.24	188.8
Baltzerites_baltzeri	extinct	188.8	190.54
Dubariceras_inaequicosta	extinct	189.5	190.54
Dubariceras_dubari	extinct	188.4	189.5
Metaderoceras_gemmellaroi	extinct	188.8	189.5
Metaderoceras_clavatus	extinct	190.54	191.84
Reynesocoeloceras_praeincertum	extinct	188.4	189.5
Reynesocoeloceras_obesum	extinct	188.24	188.8
Reynesocoeloceras_indunense	extinct	188.24	188.8
Reynesocoeloceras_incertum	extinct	188.4	189.5
Reynesocoeloceras_aegrum	extinct	188.24	188.8
Bettoniceras_italicum	extinct	188	188.4
Dubariceras??_sp.	extinct	190.78	192.9
Spiniclaviceras_spirale	extinct	190.78	192.9
Metaderoceras_gemmellaroi	extinct	188.8	189.5
Metaderoceras_gemmellaroi	extinct	188.8	189.5
Reynesocoeloceras_subcrassum	extinct	188.24	188.8
Reynesocoeloceras_obesum	extinct	188.24	189.5
Reynesocoeloceras_indunense	extinct	188.24	188.8
Reynesocoeloceras_incertum	extinct	188.4	189.5
Reynesocoeloceras_aegrum	extinct	188.24	188.8
Bettoniceras_italicum	extinct	188	188.4
Reynesocoeloceras_indunense	extinct	188.24	188.8
Dubariceras_dubari	extinct	188.4	189.5
Metaderoceras_gemmellaroi	extinct	188.8	189.5
Reynesocoeloceras_indunense	extinct	188.24	188.8
Metaderoceras_gemmellaroi	extinct	188.8	189.5
Metaderoceras_gemmellaroi	extinct	188.8	189.5
Reynesocoeloceras_obesum	extinct	188.24	189.5
Prodactylioceras_davoei	extinct	188.21	188.24
Prodactylioceras_davoei	extinct	188	188.21
Metaderoceras_gemmellaroi	extinct	188.8	189.5
Baltzerites_baltzeri	extinct	188.8	190.54
Dubariceras_dubari	extinct	188.4	189.5
Metaderoceras_gemmellaroi	extinct	188.8	189.5
Metaderoceras_apertum	extinct	190.54	192.9
Reynesocoeloceras_incertum	extinct	188.4	189.5
Bettoniceras_italicum	extinct	188	188.4
Metaderoceras_gemmellaroi	extinct	188.8	189.5
Bettoniceras_italicum	extinct	188	188.4
Dubariceras_dubari	extinct	188.4	189.5
Metaderoceras_pseudomuticum	extinct	190.2	191.84
Metaderoceras_gemmellaroi	extinct	188.8	189.5
Metaderoceras_apertum	extinct	190.54	192.9
Metaderoceras_gemmellaroi	extinct	188.8	189.5
Metaderoceras_gemmellaroi	extinct	188.8	189.5
Reynesocoeloceras_praeincertum	extinct	188.4	189.5
Metaderoceras_venarense	extinct	188.8	189.5
Metaderoceras_beirense	extinct	188.8	189.5
Reynesocoeloceras_praeincertum	extinct	188.4	188.8
Prodactylioceras_rectiradiatum	extinct	188.21	188.24
Prodactylioceras_davoei	extinct	188.21	188.24
Prodactylioceras_davoei	extinct	188	188.21
Metaderoceras_muticum	extinct	190.54	190.78
Prodactylioceras_davoei	extinct	188.21	188.24
Prodactylioceras_davoei	extinct	188	188.21
Baltzerites_baltzeri	extinct	188.8	190.54
Dubariceras_inaequicosta	extinct	188.8	190.54
Dubariceras_dubari	extinct	188.4	189.5
Metaderoceras_gemmellaroi	extinct	188.8	189.5
Metaderoceras_gemmellaroi	extinct	188.8	189.5
Metaderoceras_muticum_sensu_MB	extinct	190.54	190.78
Metaderoceras_venarense	extinct	188.8	189.5
Prodactylioceras_rectiradiatum	extinct	188.21	188.24
Prodactylioceras_davoei	extinct	188.21	188.24
Prodactylioceras_davoei	extinct	188	188.21
Jamesonites_reticulatus	extinct	191.84	192.9
Metaderoceras_muticum	extinct	190.54	190.78
platypleuroceras_caprarium	extinct	191.84	192.9
Coeloderoceras_biruga	extinct	190.78	191.84
Coeloderoceras_biruga	extinct	191.84	192.9
Coeloderoceras_rugosa	extinct	190.2	192.9
Coeloderoceras_ponticum	extinct	190.78	191.84
Epideroceras?_nodofissum	extinct	190.78	191.84
Epideroceras?_nodofissum	extinct	191.84	192.9
platypleuroceras_caprarium	extinct	190.78	191.84
Coeloderoceras_biruga	extinct	190.78	191.84
platypleuroceras_caprarium	extinct	190.78	191.84
platypleuroceras_caprarium	extinct	190.78	191.84
Coeloderoceras_biruga	extinct	190.78	191.84
Epideroceras?_plumarius	extinct	190.2	192.9
Coeloderoceras_biruga	extinct	190.78	191.84
Coeloderoceras_ponticum	extinct	190.78	191.84
Epideroceras?_nodofissum	extinct	190.78	191.84
platypleuroceras_caprarium	extinct	190.78	191.84
Coeloderoceras_ponticum	extinct	190.78	191.84
Epideroceras?_cantianense	extinct	191.84	192.9
Capreoliceras_asagensis	extinct	190.2	191.84
Coeloderoceras_biruga	extinct	190.78	191.84
Epideroceras?_trigonale	extinct	190.78	191.84
